,,
optimal,54, 531ms
,,
optimal,32, 419ms
,,
optimal,38, 530ms
,,
optimal,42, 697ms
,,
optimal,43, 622ms
,,
optimal,41, 627ms
,,
optimal,44, 441ms
,,
optimal,47, 494ms
,,
optimal,38, 392ms
,,
optimal,34, 344ms
,,
optimal,51, 1s
,,
optimal,35, 2s
,,
optimal,39, 324ms
,,
optimal,47, 426ms
,,
optimal,42, 400ms
,,
optimal,41, 278ms
,,
optimal,35, 931ms
,,
optimal,40, 323ms
,,
optimal,36, 231ms
,,
satisfiable,55, 30s
,,
satisfiable,43, 30s
,,
satisfiable,59, 30s
,,
satisfiable,57, 31s
,,
satisfiable,55, 30s
,,
optimal,50, 687ms
,,
satisfiable,63, 30s
,,
satisfiable,57, 30s
,,
satisfiable,45, 30s
,,
satisfiable,62, 31s
,,
optimal,46, 3s
,,
optimal,37, 389ms
,,
optimal,44, 221ms
,,
optimal,34, 2s
,,
optimal,50, 4s
,,
optimal,50, 7s
,,
optimal,36, 1s
,,
optimal,38, 6s
,,
optimal,40, 682ms
,,
optimal,45, 1s
,,
optimal,43, 408ms
,,
optimal,44, 627ms
,,
optimal,42, 788ms
,,
optimal,49, 318ms
,,
optimal,49, 300ms
,,
optimal,32, 291ms
,,
optimal,36, 413ms
,,
optimal,38, 312ms
,,
optimal,42, 480ms
,,
optimal,42, 466ms
,,
optimal,38, 298ms
,,
optimal,44, 238ms
,,
optimal,41, 412ms
,,
optimal,36, 323ms
,,
optimal,40, 578ms
,,
optimal,48, 261ms
,,
optimal,41, 392ms
,,
optimal,48, 416ms
